# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
biao ti 	標題	c=3 d=0.524678 t=31290
biao xian 	表現	c=6 d=0.877923 t=31290
biao xian chu se 	表現出色	c=1 d=1.67045e-07 t=31290
biao xian you xiu 	表現優秀	c=1 d=6.94433e-05 t=31290
biao zhi 	標誌	c=2 d=0.634956 t=31290
biao zhi 	標識	c=1 d=0.169201 t=31290
biao zhi fu 	標識符	c=1 d=0.0720785 t=31290
biao zhi wei 	標誌位	c=1 d=0.582748 t=31290
biao zhong 	表中	c=0 d=0.0346456 t=31290
biao zhu 	標註	c=1 d=0.283654 t=31290
biao zhu xia 	標註下	c=1 d=0.00491728 t=31290
biao zhun 	標準	c=5 d=0.0160838 t=31290
biao zhun ban 	標準版	c=1 d=0.00511796 t=31290
biao zhun hua 	標準化	c=1 d=0.0808629 t=31290
biao zhun shi 	標準時	c=1 d=4.2756e-05 t=31290
biao zhun zhi 	標準值	c=5 d=0.275432 t=31290
biao zhun zu he jin xing ji chu ji suan 	標準組合進行基礎計算	c=1 d=0.0330412 t=31290
bie 	別	c=2 d=0.105567 t=31290
bie de 	別的	c=13 d=1.23689 t=31290
bie de chi 	別的吃	c=1 d=0.38868 t=31290
bie de da lao 	別的大佬	c=1 d=0.118245 t=31290
bie de gong si 	別的公司	c=1 d=0.494108 t=31290
bie de gong si le 	別的公司了	c=1 d=0.0682212 t=31290
bie de gui ze 	別的規則	c=1 d=1 t=30126
bie de pi fu 	別的皮膚	c=1 d=0.965605 t=31290
bie de ruan jian 	別的軟件	c=1 d=0.460704 t=31290
bie ding zhe yi ge 	別盯着一個	c=1 d=0.839457 t=31290
bie gei ni 	別給你	c=1 d=0.285076 t=31290
bie ji 	別急	c=2 d=0.904856 t=31290
bie ji ha 	別急哈	c=2 d=0.831113 t=31290
bie jia 	別家	c=0 d=0.000860854 t=31290
bie jia le 	別加了	c=1 d=0.687289 t=31290
bie jiao 	別叫	c=0 d=0.00862936 t=31290
bie kan le 	別看了	c=1 d=1 t=28406
bie mai 	別買	c=0 d=0.000351752 t=31290
bie nong 	別弄	c=1 d=0.346456 t=31290
bie nong cuo le 	別弄錯了	c=1 d=0.965605 t=31290
bie ren 	別人	c=4 d=0.384812 t=31290
bie ren de 	別人的	c=3 d=0.602738 t=31290
bie shi 	別是	c=0 d=4.64291e-05 t=31290
bie shi 	別試	c=0 d=0.00706512 t=31290
bie ting 	別聽	c=1 d=0.00421123 t=31290
bie xian wo 	別嫌我	c=1 d=0.0889216 t=31290
bie xiang 	別想	c=0 d=0.0217621 t=31290
bie xiang le 	別想了	c=3 d=0.218712 t=31290
bie xiang na me duo 	別想那麼多	c=2 d=0.13399 t=31290
bie xu le 	別續了	c=1 d=0.628135 t=31290
bie zhao wo 	別找我	c=1 d=0.0992613 t=31290
bie zhui 	別追	c=1 d=0.369723 t=31290
bie zuo meng le 	別做夢了	c=1 d=0.13466 t=31290
bing 	並	c=18 d=1.08651 t=31290
bing bu 	並不	c=0 d=0.000185477 t=31290
bing bu jian yi 	並不建議	c=1 d=9.54667e-14 t=31290
bing bu li xiang 	並不理想	c=1 d=0.000944363 t=31290
bing bu shi 	並不是	c=2 d=0.336216 t=31290
bing cai yong 	並採用	c=1 d=0.0507928 t=31290
bing cha yue le 	並查閱了	c=1 d=0.798516 t=31290
bing de dao le 	並得到了	c=1 d=1.94145e-11 t=31290
bing du 	病毒	c=1 d=0.0188734 t=31290
bing dui 	並對	c=4 d=0.0163264 t=31290
bing dui qi 	並對其	c=2 d=0.822835 t=31290
bing dui yu 	並對於	c=1 d=0.882497 t=31290
bing fa song 	並發送	c=1 d=0.00017956 t=31290
bing fen xi 	並分析	c=1 d=0.494109 t=31290
bing gen ju 	並根據	c=1 d=1 t=30499
bing jin xing 	並進行	c=1 d=0.0159229 t=31290
bing liao jie 	並瞭解	c=1 d=0.0098528 t=31290
bing mei you 	並沒有	c=9 d=0.449085 t=31290
bing qie 	並且	c=24 d=0.546508 t=31290
bing shi 	並使	c=0 d=0.0436049 t=31290
bing shi ta 	並使它	c=1 d=0.438235 t=31290
bing shu ming 	並署名	c=1 d=0.794534 t=31290
bing tong guo 	並通過	c=1 d=0.228779 t=31290
bing tou 	柄頭	c=2 d=1.4596 t=31290
bing wan cheng 	並完成	c=2 d=1.24171 t=29215
bing wei 	並未	c=0 d=0.0066205 t=31290
bing wei 	併爲	c=1 d=0.00318278 t=31290
bing wei gei chu 	並未給出	c=1 d=0.0665368 t=31290
bing xin ren 	並信任	c=1 d=0.00634556 t=31290
bing xing 	並行	c=1 d=0.00400585 t=31290
bing xing cheng 	並形成	c=1 d=0.0119145 t=31290
bing xing chuan shu 	並行傳輸	c=1 d=8.94434e-12 t=31290
bing you ci 	並由此	c=1 d=8.56998e-09 t=31290
bing yu 	並於	c=1 d=7.65616e-06 t=31290
bing yu huo zhi ge 	冰與火之歌	c=1 d=1 t=28816
bing zong jie 	並總結	c=1 d=0.106992 t=31290
bo 	博	c=1 d=0.895834 t=31290
bo fang 	播放	c=3 d=0.907212 t=31290
bo fang bu liu chang 	播放不流暢	c=1 d=0.559898 t=31290
bo fang guo cheng 	播放過程	c=2 d=2.08628e-13 t=31290
bo fang liu chang 	播放流暢	c=1 d=0.491644 t=31290
bo fang qi 	播放器	c=1 d=2.27909e-15 t=31290
bo ge 	博哥	c=2 d=0.730103 t=31290
bo ge ne 	博哥呢	c=1 d=0.00293808 t=31290
bo ke 	博客	c=34 d=2.29567 t=31290
bo ke ming 	博客名	c=1 d=0.242926 t=31290
bo ke wen zhang 	博客文章	c=1 d=2.76933e-13 t=31290
bo ke xin xi 	博客信息	c=1 d=0.2334 t=31290
bo ke zhong 	博客中	c=1 d=0.00408677 t=31290
bo li 	玻璃	c=0 d=7.06632e-05 t=31290
bo li cha zi 	玻璃茬子	c=1 d=0.000710174 t=31290
bo niao suan 	玻尿酸	c=1 d=0.000893825 t=31290
bo te lan 	波特蘭	c=1 d=0.806541 t=31290
bo wu yuan 	博物院	c=1 d=0.465334 t=31290
bo zhu 	博主	c=4 d=1.58974 t=31290
bu 	不	c=8 d=0.847894 t=31290
bu 	步	c=5 d=0.388843 t=31290
bu an pai 	不安排	c=1 d=0.937067 t=31290
bu an quan 	不安全	c=0 d=0.0226502 t=31290
bu an quan nei rong 	不安全內容	c=1 d=0.227638 t=31290
bu bao 	不保	c=1 d=1 t=29560
bu bao han 	不包含	c=1 d=0.311923 t=31290
bu bao kuo 	不包括	c=1 d=0.017953 t=31290
bu bao lu 	不暴露	c=2 d=0.00136177 t=31290
bu bian 	不便	c=0 d=0.0554327 t=31290
bu bian 	不變	c=2 d=0.684209 t=31290
bu bian duo shuo 	不便多說	c=1 d=0.557106 t=31290
bu can jia 	不參加	c=1 d=0.00125578 t=31290
bu cha 	不差	c=0 d=0.0618783 t=31290
bu cha qian 	不差錢	c=1 d=0.621885 t=31290
bu chao guo 	不超過	c=1 d=0.0652193 t=31290
bu cheng 	不成	c=0 d=1.32534e-50 t=31290
bu chi 	不吃	c=2 d=0.419346 t=31290
bu chi le 	不吃了	c=1 d=0.117655 t=31290
bu chong 	補充	c=8 d=0.967899 t=31290
bu chong zhi 	不重置	c=1 d=0.00918669 t=31290
bu chu 	不出	c=0 d=3.59786e-05 t=31290
bu chu chang 	不出場	c=1 d=0.704688 t=31290
bu chu lai 	不出來	c=0 d=0.0647265 t=31290
bu cun zai 	不存在	c=3 d=0.637455 t=31290
bu cuo 	不錯	c=5 d=0.835286 t=31290
bu cuo a 	不錯啊	c=1 d=0.00304273 t=31290
bu cuo de 	不錯的	c=1 d=0.831944 t=31290
bu cuo le 	不錯了	c=1 d=3.1907e-05 t=31290
bu da 	不大	c=3 d=0.548259 t=31290
bu da kai 	不打開	c=1 d=0.0953692 t=31290
bu dai 	不帶	c=1 d=0.0528657 t=31290
bu dai biao 	不代表	c=2 d=0.852348 t=31290
bu dai wo 	不帶我	c=1 d=0.209088 t=31290
bu dan xin 	不擔心	c=0 d=0.097531 t=31290
bu dao 	不到	c=3 d=1.40536 t=31290
bu dao deng dai 	不到等待	c=1 d=0.0413782 t=31290
bu dao wu fa shi yong 	不到無法使用	c=1 d=0.000742862 t=31290
bu de bu 	不得不	c=0 d=1.89874e-15 t=31290
bu de bu shuo 	不得不說	c=1 d=1.90826e-14 t=31290
bu de le 	不得了	c=1 d=0.0137049 t=31290
bu de liao 	不得了	c=1 d=0.0184997 t=31290
bu dei 	不得	c=1 d=0.0193512 t=31290
bu deng 	不等	c=1 d=0.481909 t=31290
bu deng yu 	不等於	c=1 d=1.00813e-07 t=31290
bu diao 	不掉	c=1 d=0.0031042 t=31290
bu ding qi 	不定期	c=1 d=0.873716 t=31290
bu dong 	不動	c=0 d=6.63876e-06 t=31290
bu dong 	不懂	c=3 d=0.774469 t=31290
bu dou 	不都	c=2 d=1.30541 t=31290
bu dou you 	不都有	c=1 d=0.23457 t=31290
bu duan 	不斷	c=6 d=0.400517 t=31290
bu duan de 	不斷地	c=1 d=0.120032 t=31290
bu duan ti chu 	不斷提出	c=1 d=1.93177e-11 t=31290
bu duan zeng jia 	不斷增加	c=1 d=2.77603e-12 t=31290
bu dui 	不對	c=3 d=0.802519 t=31290
bu dui a 	不對啊	c=1 d=5.17027e-05 t=31290
bu duo 	不多	c=2 d=0.519442 t=31290
bu fa biao 	不發表	c=1 d=0.440432 t=31290
bu fa ge 	不發個	c=1 d=0.618783 t=31290
bu fen 	不分	c=0 d=0.0202909 t=31290
bu fen 	部分	c=21 d=3.0237 t=31290
bu fen mo kuai 	部分模塊	c=1 d=0.0181334 t=31290
bu fen xiang 	不分享	c=1 d=0.203926 t=31290
bu fen yuan dai ma 	部分源代碼	c=1 d=0.606531 t=31290
bu fu he 	不符合	c=1 d=0.836772 t=31290
bu fu za 	不複雜	c=1 d=0.937067 t=31290
bu gai bian 	不改變	c=1 d=1.35229e-11 t=31290
bu gan 	不幹	c=0 d=0.0839457 t=31290
bu gan 	不敢	c=1 d=0.280166 t=31290
bu gan da lao 	不敢大佬	c=1 d=0.255381 t=31290
bu gan dian le 	不敢點了	c=2 d=0.110427 t=31290
bu gan kan 	不敢看	c=1 d=0.50409 t=31290
bu gan shuo le 	不敢說了	c=1 d=0.00394621 t=31290
bu gan wan 	不幹完	c=1 d=0.843665 t=31290
bu gao 	不高	c=4 d=1.44001 t=31290
bu gao yu 	不高於	c=1 d=0.00116504 t=31290
bu gong 	不公	c=0 d=0.0151072 t=31290
bu gong dai yu 	不公待遇	c=1 d=0.151829 t=31290
bu gou 	不夠	c=5 d=1.05239 t=31290
bu gou de 	不夠的	c=1 d=0.0682212 t=31290
bu gou hao yong 	不夠好用	c=1 d=0.0702988 t=31290
bu gou jiu suan ni de le 	不夠就算你的了	c=1 d=0.0581343 t=31290
bu gou ke yi 	不夠可以	c=1 d=0.00729913 t=31290
bu gou qing xi 	不夠清晰	c=1 d=0.985112 t=31290
bu gou yong 	不夠用	c=1 d=0.294362 t=31290
bu gou you hao 	不夠友好	c=1 d=9.80532e-05 t=31290
bu guan 	不管	c=0 d=4.40582e-06 t=31290
bu guan shi 	不管是	c=1 d=0.444858 t=31290
bu gui 	不貴	c=1 d=0.213312 t=31290
bu guo 	不過	c=31 d=2.72464 t=31290
bu guo hai bu hao yong 	不過還不好用	c=1 d=0.299692 t=31290
bu guo kan yang zi 	不過看樣子	c=1 d=0.26982 t=31290
bu guo mei ren jie 	不過沒人接	c=1 d=0.21119 t=31290
bu guo ta hai zai mang 	不過他還在忙	c=1 d=0.227638 t=31290
bu guo wo 	不過我	c=0 d=5.05481e-05 t=31290
bu guo wo ye bu wan 	不過我也不玩	c=1 d=0.000508015 t=31290
bu guo wo yong de shi 	不過我用的是	c=1 d=0.00214418 t=31290
bu guo yong le yi duan shi jian hai mei shi ying 	不過用了一段時間還沒適應	c=1 d=0.128735 t=31290
bu hai you 	不還有	c=1 d=1 t=29523
bu hao 	不好	c=6 d=0.0400166 t=31290
bu hao chi a 	不好吃啊	c=1 d=0.00103848 t=31290
bu hao guo 	不好過	c=0 d=0.0278037 t=31290
bu hao kan 	不好看	c=1 d=0.311923 t=31290
bu hao ma 	不好嗎	c=1 d=0.501576 t=31290
bu hao me 	不好麼	c=1 d=0.0916297 t=31290
bu hao shi 	不好使	c=0 d=0.0693963 t=31290
bu hao yi si 	不好意思	c=11 d=0.908723 t=31290
bu hao yi si a 	不好意思啊	c=2 d=0.66034 t=31290
bu hao yi si ha 	不好意思哈	c=1 d=0.909373 t=31290
bu hao yi si le 	不好意思了	c=1 d=0.000106752 t=31290
bu hao yong 	不好用	c=1 d=0.00814786 t=31290
bu hao zhao gong zuo 	不好找工作	c=1 d=0.360595 t=31290
bu he 	不喝	c=1 d=0.263158 t=31290
bu he le 	不喝了	c=2 d=0.112554 t=31290
bu he wo yi kuai qu chi 	不喝我一塊去吃	c=1 d=0.279431 t=31290
bu hua qian 	不花錢	c=1 d=0.831104 t=31290
bu hua suan 	不划算	c=1 d=1.47392e-05 t=31290
bu hui 	不回	c=2 d=0.594705 t=31290
bu hui 	不會	c=17 d=1.12058 t=31290
bu hui ba 	不會吧	c=3 d=0.152602 t=31290
bu hui bei 	不會被	c=1 d=0.362402 t=31290
bu hui chu wen ti 	不會出問題	c=1 d=4.14135e-12 t=31290
bu hui chu xian 	不會出現	c=1 d=8.56707e-05 t=31290
bu hui chuang jian 	不會創建	c=1 d=7.10779e-14 t=31290
bu hui de hua 	不會的話	c=1 d=6.72627e-12 t=31290
bu hui fa sheng 	不會發生	c=1 d=0.100259 t=31290
bu hui fang 	不會放	c=1 d=0.0012684 t=31290
bu hui kou chu 	不會扣除	c=1 d=0.474734 t=31290
bu hui liu xia 	不會留下	c=1 d=0.177284 t=31290
bu hui mei kai 	不會沒開	c=1 d=0.418952 t=31290
bu hui nong 	不會弄	c=1 d=0.000165755 t=31290
bu hui qu 	不會去	c=0 d=0.0878095 t=31290
bu hui shan le 	不會刪了	c=1 d=0.00733572 t=31290
bu hui xiang 	不會像	c=0 d=0.0118245 t=31290
bu hui xiang dian jin qu kan 	不會想點進去看	c=1 d=0.13332 t=31290
bu hui zai wen 	不會再問	c=1 d=0.0051953 t=31290
bu huo 	補貨	c=2 d=0.66365 t=31290
bu ji dao 	不擠到	c=1 d=0.201897 t=31290
bu ji de 	不記得	c=1 d=0.782705 t=31290
bu ji de le 	不記得了	c=1 d=0.0150707 t=31290
bu ji de shi bu shi yao xie 	不記得是不是要寫	c=1 d=0.00017252 t=31290
bu ji huo 	不激活	c=1 d=0.32628 t=31290
bu jia 	不加	c=1 d=0.0198411 t=31290
bu jian 	不減	c=0 d=0.0140156 t=31290
bu jian le 	不減了	c=1 d=0.140858 t=31290
bu jian rong 	不兼容	c=1 d=0.10435 t=31290
bu jiao 	不交	c=1 d=3.6718e-08 t=31290
bu jiao 	不叫	c=0 d=0.0433874 t=31290
bu jiao wo 	不叫我	c=1 d=0.436049 t=31290
bu jie shou 	不接受	c=0 d=0.00475963 t=31290
bu jie shou bao 	不接受包	c=1 d=0.0478349 t=31290
bu jie yi 	不介意	c=0 d=0.0177284 t=31290
bu jin 	不僅	c=6 d=0.263166 t=31290
bu jin 	不進	c=0 d=0.000232276 t=31290
bu jin da le zhe 	不僅打了折	c=1 d=0.529935 t=31290
bu jin jin 	不僅僅	c=1 d=0.108609 t=31290
bu jin jin shi 	不僅僅是	c=1 d=0.431715 t=31290
bu jin ke yi 	不僅可以	c=1 d=0.00465413 t=31290
bu jin neng gou yong yu 	不僅能夠用於	c=1 d=0.000218221 t=31290
bu jin zai 	不僅在	c=1 d=2.02591e-12 t=31290
bu jiu 	不久	c=3 d=0.473432 t=31290
bu jiu 	不就	c=4 d=0.213094 t=31290
bu jiu de le 	不就得了	c=1 d=0.923116 t=31290
bu jiu hao le 	不就好了	c=8 d=1.19164 t=31290
bu jiu ke yi zhi jie 	不久可以直接	c=1 d=3.84943e-05 t=31290
bu jiu shi 	不就是	c=2 d=0.0867261 t=31290
bu jiu zhi chi 	不就支持	c=1 d=3.83154e-09 t=31290
bu jiu zhi dao le 	不久知道了	c=1 d=0.609571 t=31290
bu ju 	佈局	c=4 d=0.899892 t=31290
bu jun 	不均	c=0 d=0.00439369 t=31290
bu kai 	不開	c=2 d=0.111688 t=31290
bu kan 	不看	c=1 d=0.0401553 t=31290
bu kao 	補考	c=3 d=3.0216 t=28397
bu kao lv 	不考慮	c=1 d=0.146607 t=31290
bu ke 	不可	c=1 d=0.796326 t=31290
bu ke da 	不可達	c=1 d=0.0578443 t=31290
bu ke huo que 	不可或缺	c=0 d=7.67598e-08 t=31290
bu ke huo que de 	不可或缺的	c=1 d=7.71445e-07 t=31290
bu ke kao 	不可靠	c=3 d=0.338171 t=31290
bu ke neng 	不可能	c=1 d=0.501576 t=31290
bu ke qi 	不客氣	c=7 d=1.20022 t=31290
bu ke si yi 	不可思議	c=1 d=0.0561348 t=31290
bu ke yi 	不可以	c=7 d=0.900361 t=31290
bu ke yi a 	不可以啊	c=1 d=0.00565622 t=31290
bu ke yong 	不可用	c=1 d=0.00798652 t=31290
bu lai 	不來	c=1 d=0.404546 t=31290
bu le 	不了	c=1 d=0.0378169 t=31290
bu li wo 	不理我	c=0 d=0.0519442 t=31290
bu li xiang 	不理想	c=1 d=0.00606634 t=31290
bu liao 	不了	c=4 d=1.05136 t=31290
bu liao le 	不了了	c=0 d=0.0211189 t=31290
bu ling 	不靈	c=0 d=3.40532e-05 t=31290
bu mai 	不買	c=1 d=0.615697 t=31290
bu men 	部門	c=1 d=0.365566 t=31290
bu mian 	不眠	c=0 d=0.000499159 t=31290
bu mian ye 	不眠夜	c=1 d=0.00501661 t=31290
bu ming bai 	不明白	c=0 d=0.00057994 t=31290
bu ming bu bai 	不明不白	c=0 d=0.0142987 t=31290
bu na me 	不那麼	c=1 d=0.364219 t=31290
bu nan 	不難	c=2 d=0.0434998 t=31290
bu neng 	不能	c=13 d=1.70063 t=31290
bu neng ba 	不能吧	c=2 d=0.251895 t=31290
bu neng bian 	不能變	c=1 d=0.759572 t=31290
bu neng chi 	不能吃	c=0 d=0.0191092 t=31290
bu neng geng xin 	不能更新	c=1 d=0.244143 t=31290
bu neng ji lu bu shu 	不能記錄步數	c=1 d=0.199888 t=31290
bu neng kan 	不能看	c=1 d=0.272532 t=31290
bu neng lian jie 	不能連接	c=1 d=0.0685632 t=31290
bu neng na le 	不能拿了	c=1 d=0.00298248 t=31290
bu neng nian fu le 	不能年付了	c=1 d=0.562705 t=31290
bu neng ru qi 	不能如期	c=1 d=1 t=29407
bu neng shan chu 	不能刪除	c=1 d=3.38017e-05 t=31290
bu neng yong 	不能用	c=6 d=0.967663 t=31290
bu neng yong me 	不能用麼	c=1 d=0.0473589 t=31290
bu neng zhuan 	不能轉	c=1 d=0.0934807 t=31290
bu neng zou me 	不能走麼	c=1 d=0.000784864 t=31290
bu pao bu 	不跑步	c=1 d=0.410656 t=31290
bu qiang zhi 	不強制	c=2 d=0.287897 t=31290
bu qing bu chu 	不清不楚	c=1 d=0.67368 t=31290
bu qing chu 	不清楚	c=9 d=1.00942 t=31290
bu qiu 	不求	c=2 d=0.117286 t=31290
bu qu 	不去	c=5 d=0.980297 t=31290
bu qu le 	不去了	c=2 d=0.455119 t=31290
bu que 	補缺	c=1 d=1.58079e-05 t=31290
bu ran 	不然	c=11 d=1.23524 t=31290
bu ran de hua 	不然的話	c=2 d=0.609644 t=31290
bu ran hai shi 	不然還是	c=1 d=1 t=28734
bu ran jiu 	不然就	c=1 d=0.0101529 t=31290
bu ran ni zen me ban 	不然你怎麼辦	c=1 d=2.45451e-05 t=31290
bu rang 	不讓	c=2 d=0.0350012 t=31290
bu rang zhu ce le 	不讓註冊了	c=1 d=0.016326 t=31290
bu ren xin 	不忍心	c=1 d=1 t=31039
bu rong le guan 	不容樂觀	c=1 d=0.970446 t=31290
bu rong yi a 	不容易啊	c=2 d=0.25924 t=31290
bu ru 	不如	c=3 d=0.47002 t=31290
bu shan 	不刪	c=1 d=1 t=29573
bu shang 	不上	c=1 d=0.802519 t=31290
bu shang a 	不上啊	c=0 d=0.0470011 t=31290
bu shang ping 	不上屏	c=1 d=1 t=30745
bu shang xian 	不上線	c=1 d=0.860708 t=31290
bu shao 	不少	c=6 d=0.241143 t=31290
bu shao dong xi 	不少東西	c=1 d=0.71177 t=31290
bu shao liu liang 	不少流量	c=1 d=0.0968105 t=31290
bu shao qian 	不少錢	c=1 d=0.000939653 t=31290
bu shao ren 	不少人	c=2 d=0.946495 t=31290
bu shao ren le 	不少人了	c=1 d=0.00400585 t=31290
bu shao yu 	不少於	c=1 d=0.00113061 t=31290
bu she ji 	不設計	c=1 d=0.276651 t=31290
bu shen 	不甚	c=0 d=0.0891366 t=31290
bu shen rong xing 	不甚榮幸	c=2 d=1.79616 t=31290
bu sheng 	不勝	c=0 d=0.0900325 t=31290
bu sheng rong xing 	不勝榮幸	c=1 d=0.904837 t=31290
bu sheng xiao 	不生效	c=1 d=0.0101022 t=31290
bu shi 	不是	c=43 d=2.55608 t=31290
bu shi a 	不是啊	c=2 d=0.00932702 t=31290
bu shi dai jiu tian 	不是待九天	c=1 d=0.0963276 t=31290
bu shi dou ke yi 	不是都可以	c=1 d=0.748264 t=31290
bu shi he 	不適合	c=2 d=1.09545 t=31290
bu shi he ni shuo le 	不是和你說了	c=1 d=0.318224 t=31290
bu shi hen 	不是很	c=0 d=0.0125678 t=31290
bu shi hen kuai 	不是很快	c=1 d=0.70822 t=31290
bu shi hen ma fan 	不是很麻煩	c=1 d=0.126186 t=31290
bu shi hen xi huan 	不是很喜歡	c=2 d=0.50204 t=31290
bu shi hui le ni 	不是回了你	c=1 d=0.000165755 t=31290
bu shi ji 	不實際	c=1 d=0.509156 t=31290
bu shi na zhong 	不是那種	c=1 d=0.474734 t=31290
bu shi ni 	不是你	c=1 d=0.00414854 t=31290
bu shi shang le 	不是上了	c=1 d=0.00878245 t=31290
bu shi shuo 	不是說	c=0 d=0.040657 t=31290
bu shi shuo hao le 	不是說好了	c=1 d=0.0119145 t=31290
bu shi shuo le 	不是說了	c=1 d=0.516851 t=31290
bu shi shuo mei dong guo 	不是說沒動過	c=1 d=0.408608 t=31290
bu shi wo 	不是我	c=3 d=0.640824 t=31290
bu shi wo de 	不是我的	c=0 d=0.0158817 t=31290
bu shi wo de zhan 	不是我的站	c=1 d=0.159614 t=31290
bu shi ying 	不適應	c=0 d=0.00599047 t=31290
bu shi ying gai he 	不是應該和	c=1 d=0.0330412 t=31290
bu shi yong yu 	不適用於	c=1 d=9.68599e-08 t=31290
bu shi you 	不是有	c=1 d=0.0629761 t=31290
bu shi you ge 	不是有個	c=1 d=0.0065062 t=31290
bu shi you hen duo 	不是有很多	c=1 d=0.0515605 t=31290
bu shi zhe yang 	不是這樣	c=1 d=0.00244185 t=31290
bu shou 	不受	c=1 d=0.00052611 t=31290
bu shu 	不熟	c=1 d=0.00506703 t=31290
bu shu 	步數	c=3 d=0.433243 t=31290
bu shu 	部署	c=9 d=1.61991 t=31290
bu shu cheng gong 	部署成功	c=1 d=0.0430669 t=31290
bu shu dao 	部署到	c=1 d=0.00644146 t=31290
bu shu fu 	不舒服	c=2 d=0.851076 t=31290
bu shu jiao cheng 	部署教程	c=1 d=5.08447e-14 t=31290
bu shui 	補水	c=0 d=8.93825e-05 t=31290
bu shui pen wu 	補水噴霧	c=1 d=0.000898306 t=31290
bu song 	不送	c=0 d=0.0677057 t=31290
bu song le 	不送了	c=1 d=0.680451 t=31290
bu su 	不俗	c=0 d=0.026982 t=31290
bu su de 	不俗的	c=1 d=0.329156 t=31290
bu su de biao xian 	不俗的表現	c=1 d=0.582748 t=31290
bu suan 	不算	c=1 d=0.00162053 t=31290
bu suan zi 	不蒜子	c=9 d=1.13123 t=31290
bu tai 	不太	c=0 d=0.0927743 t=31290
bu tai hao 	不太好	c=0 d=0.0261846 t=31290
bu tai hao kan 	不太好看	c=1 d=0.932394 t=31290
bu tai hao yong 	不太好用	c=1 d=0.0317456 t=31290
bu tai ke xin ya 	不太可信呀	c=1 d=0.00149594 t=31290
bu tai le guan a 	不太樂觀啊	c=1 d=0.0167392 t=31290
bu tai xiang 	不太想	c=0 d=0.0265803 t=31290
bu tai xiang chi 	不太想吃	c=1 d=0.267135 t=31290
bu tai yi yang 	不太一樣	c=1 d=0.337902 t=31290
bu ti gong 	不提供	c=2 d=0.856415 t=31290
bu tian 	不填	c=1 d=0.529935 t=31290
bu tie chu lai le 	不貼出來了	c=1 d=0.29523 t=31290
bu ting 	不聽	c=1 d=0.331314 t=31290
bu tong 	不同	c=20 d=1.43731 t=31290
bu tong 	不通	c=1 d=0.000500527 t=31290
bu tong de 	不同的	c=14 d=1.02493 t=31290
bu tong de fang an 	不同的方案	c=1 d=0.0145524 t=31290
bu tong de tiao jian 	不同的條件	c=1 d=0.0146986 t=31290
bu tong duan kou 	不同端口	c=1 d=1 t=30584
bu tong guo 	不通過	c=1 d=0.000231716 t=31290
bu tong lei xing 	不同類型	c=3 d=0.690845 t=31290
bu tong mo shi 	不同模式	c=1 d=0.790571 t=31290
bu tong ping tai 	不同平臺	c=2 d=1.51015 t=31290
bu tong yong hu 	不同用戶	c=1 d=2.04558e-08 t=31290
bu tong yu 	不同於	c=4 d=0.00559994 t=31290
bu tong yu ming 	不同域名	c=1 d=1 t=30587
bu tui 	不退	c=1 d=0.000367055 t=31290
bu wan 	不玩	c=0 d=0.0509156 t=31290
bu wan le 	不玩了	c=1 d=0.0026852 t=31290
bu wan mei 	不完美	c=1 d=0.0018363 t=31290
bu wan you xi 	不玩遊戲	c=1 d=0.00315111 t=31290
bu wen 	不穩	c=4 d=0.30229 t=31290
bu xi ban 	補習班	c=0 d=2.55468e-06 t=31290
bu xi guan 	不習慣	c=1 d=0.404751 t=31290
bu xi huan 	不喜歡	c=1 d=0.311923 t=31290
bu xia qu 	不下去	c=0 d=0.00450734 t=31290
bu xian 	不限	c=1 d=0.414783 t=31290
bu xian 	佈線	c=1 d=0.105399 t=31290
bu xian liang 	不限量	c=1 d=0.0471227 t=31290
bu xian she bei 	不限設備	c=1 d=0.00726273 t=31290
bu xian su 	不限速	c=1 d=0.697676 t=31290
bu xian zhi 	不限製	c=1 d=0.67032 t=31290
bu xiang 	不像	c=1 d=6.47485e-05 t=31290
bu xiang 	不想	c=3 d=0.37718 t=31290
bu xiang chi 	不想吃	c=1 d=0.025223 t=31290
bu xiang dian 	不想點	c=1 d=0.315058 t=31290
bu xiang guan 	不相關	c=2 d=0.0350143 t=31290
bu xiang kan 	不想看	c=2 d=0.255381 t=31290
bu xiang mai 	不想買	c=1 d=0.341298 t=31290
bu xiang nong 	不想弄	c=1 d=0.477114 t=31290
bu xiang qu 	不想去	c=0 d=0.0568285 t=31290
bu xiang qu shi 	不想去試	c=1 d=0.489192 t=31290
bu xiang shi yong 	不想使用	c=1 d=0.127454 t=31290
bu xiang shu le 	不詳述了	c=1 d=1 t=30871
bu xiang yong 	不想用	c=4 d=0.00184878 t=31290
bu xiang yong le 	不想用了	c=1 d=0.0824965 t=31290
bu xiang zai zhe teng 	不想再折騰	c=1 d=4.12138e-14 t=31290
bu xiao xin 	不小心	c=1 d=0.000675539 t=31290
bu xie 	不寫	c=2 d=0.559898 t=31290
bu xie lou 	不泄漏	c=1 d=0.0561348 t=31290
bu xin 	不信	c=0 d=0.00028799 t=31290
bu xing 	不行	c=14 d=1.02853 t=31290
bu xing a 	不行啊	c=1 d=0.000816895 t=31290
bu xing de 	不行的	c=0 d=0.00450492 t=31290
